iter	Passed	Remaining
569	8912	37994
570	8928	37980
571	8943	37964
572	8958	37942
573	8973	37927
574	8989	37913
575	9004	37892
576	9019	37877
577	9034	37857
578	9049	37837
579	9064	37822
580	9079	37803
581	9095	37786
582	9111	37773
583	9126	37756
584	9141	37736
585	9155	37717
586	9170	37699
587	9185	37680
588	9200	37662
589	9215	37644
590	9230	37624
591	9246	37609
592	9260	37590
593	9275	37569
594	9291	37554
595	9305	37533
596	9320	37514
597	9335	37499
598	9350	37478
599	9363	37455
600	9380	37443
601	9397	37434
602	9418	37440
603	9438	37442
604	9458	37442
605	9481	37456
606	9500	37454
607	9520	37454
608	9535	37437
609	9550	37418
610	9565	37400
611	9580	37383
612	9596	37366
613	9610	37345
614	9625	37329
615	9641	37314
616	9656	37295
617	9672	37281
618	9686	37259
619	9701	37240
620	9716	37224
621	9732	37209
622	9747	37191
623	9763	37178
624	9779	37161
625	9794	37144
626	9811	37132
627	9827	37121
628	9844	37107
629	9860	37094
630	9877	37081
631	9892	37066
632	9908	37050
633	9923	37034
634	9938	37015
635	9953	36997
636	9969	36982
637	9984	36963
638	9999	36944
639	10014	36928
640	10029	36911
641	10045	36895
642	10060	36879
643	10077	36866
644	10093	36852
645	10109	36838
646	10125	36823
647	10139	36802
648	10153	36779
649	10166	36757
650	10181	36737
651	10196	36719
652	10211	36701
653	10224	36677
654	10239	36657
655	10254	36640
656	10268	36620
657	10283	36602
658	10298	36583
659	10313	36565
660	10326	36542
661	10341	36523
662	10355	36503
663	10370	36482
664	10384	36462
665	10399	36443
666	10413	36423
667	10427	36401
668	10440	36377
669	10455	36358
670	10470	36341
671	10484	36322
672	10499	36305
673	10513	36283
674	10528	36264
675	10543	36245
676	10557	36225
677	10572	36207
678	10586	36188
679	10601	36168
680	10615	36147
681	10628	36125
682	10642	36104
683	10658	36087
684	10673	36070
685	10687	36051
686	10703	36036
687	10718	36019
688	10733	36000
689	10748	35982
690	10762	35963
691	10777	35945
692	10792	35929
693	10806	35908
694	10821	35890
695	10836	35871
696	10852	35857
697	10867	35839
698	10882	35823
699	10898	35808
700	10913	35792
701	10929	35776
702	10945	35764
703	10961	35748
704	10975	35729
705	10991	35714
706	11007	35699
707	11023	35684
708	11037	35666
709	11050	35642
710	11065	35625
711	11079	35604
712	11094	35587
713	11109	35570
714	11124	35552
715	11139	35534
716	11154	35515
717	11167	35494
718	11182	35475
719	11197	35458
720	11210	35435
721	11224	35414
722	11239	35397
723	11254	35380
724	11269	35362
725	11285	35349
726	11300	35331
727	11316	35318
728	11332	35302
729	11347	35285
730	11363	35271
731	11378	35253
732	11392	35235
733	11407	35217
734	11422	35200
735	11437	35182
736	11452	35166
737	11466	35145
738	11480	35126
739	11495	35108
740	11510	35091
741	11525	35073
742	11540	35056
743	11554	35036
744	11568	35017
745	11583	34997
746	11596	34977
747	11610	34955
748	11624	34936
749	11638	34915
750	11653	34898
751	11667	34879
752	11683	34865
753	11698	34848
754	11716	34837
755	11732	34825
756	11748	34810
757	11764	34797
758	11780	34783
759	11796	34769
760	11813	34756
761	11829	34743
762	11845	34730
763	11861	34714
764	11877	34699
765	11894	34688
766	11908	34670
767	11925	34658
768	11940	34641
769	11955	34624
770	11972	34612
771	11988	34598
772	12004	34584
773	12020	34570
774	12036	34557
775	12053	34544
776	12069	34530
777	12085	34517
778	12101	34503
779	12117	34489
780	12132	34471
781	12147	34455
782	12163	34440
783	12178	34422
784	12194	34408
785	12211	34396
786	12227	34383
787	12243	34367
788	12258	34351
789	12274	34336
790	12290	34323
791	12306	34309
792	12323	34297
793	12338	34280
794	12354	34267
795	12371	34254
796	12386	34238
797	12402	34224
798	12418	34210
799	12435	34196
800	12451	34182
801	12466	34165
802	12480	34147
803	12497	34134
804	12513	34120
805	12529	34106
806	12545	34091
807	12561	34077
808	12577	34063
809	12593	34049
810	12609	34033
811	12625	34019
812	12643	34010
813	12659	33996
814	12675	33981
815	12691	33967
816	12706	33952
817	12722	33935
818	12738	33923
819	12753	33905
820	12768	33888
821	12785	33875
822	12800	33860
823	12816	33845
824	12831	33827
825	12847	33814
826	12863	33799
827	12879	33786
828	12895	33772
829	12912	33758
830	12928	33743
831	12944	33730
832	12960	33717
